start_date,end_date,value,device
2016-12-13 23:02:00+01:00,2016-12-14 06:00:27+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-12-15 00:24:32+01:00,2016-12-15 06:00:57+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-12-18 23:00:00+01:00,2016-12-19 06:22:52+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-12-19 06:23:00+01:00,2016-12-19 06:23:20+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-12-19 06:26:44+01:00,2016-12-19 06:30:11+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-03 00:01:04+01:00,2017-01-03 06:00:21+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-03 23:23:56+01:00,2017-01-04 06:00:10+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-05 00:29:32+01:00,2017-01-05 00:32:56+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-05 00:33:00+01:00,2017-01-05 00:36:36+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-05 00:41:32+01:00,2017-01-05 06:00:27+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-05 23:00:00+01:00,2017-01-06 06:00:26+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-08 23:00:00+01:00,2017-01-09 06:00:14+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-09 23:38:24+01:00,2017-01-10 04:09:24+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-10 04:09:44+01:00,2017-01-10 06:11:28+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-10 06:11:28+01:00,2017-01-10 06:11:36+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-10 06:13:24+01:00,2017-01-10 06:18:59+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-11 02:22:40+01:00,2017-01-11 06:09:51+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-11 23:29:40+01:00,2017-01-12 06:18:47+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-13 00:39:48+01:00,2017-01-13 06:00:11+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-17 00:45:56+01:00,2017-01-17 06:03:32+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-17 06:06:32+01:00,2017-01-17 06:10:27+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-17 23:44:00+01:00,2017-01-18 06:00:13+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-18 23:07:08+01:00,2017-01-19 06:09:17+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-20 00:49:36+01:00,2017-01-20 06:09:41+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-22 23:00:00+01:00,2017-01-23 06:00:19+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-24 00:14:52+01:00,2017-01-24 06:00:04+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-25 00:00:00+01:00,2017-01-25 07:01:12+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-26 02:20:20+01:00,2017-01-26 07:00:35+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-27 00:24:04+01:00,2017-01-27 07:00:27+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-29 23:34:44+01:00,2017-01-30 06:00:30+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-31 00:17:32+01:00,2017-01-31 06:09:32+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-01-31 23:08:12+01:00,2017-02-01 06:18:36+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-02-01 23:49:08+01:00,2017-02-02 06:00:16+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-02-05 23:27:32+01:00,2017-02-06 06:00:23+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-02-06 23:39:52+01:00,2017-02-07 05:45:05+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-02-07 23:00:00+01:00,2017-02-08 01:11:36+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-02-08 01:15:56+01:00,2017-02-08 05:16:52+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-02-08 05:19:12+01:00,2017-02-08 05:31:16+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-02-08 05:36:20+01:00,2017-02-08 05:41:32+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-02-08 05:42:04+01:00,2017-02-08 05:45:05+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-02-09 00:16:20+01:00,2017-02-09 05:45:18+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-02-09 23:50:42+01:00,2017-02-10 05:48:44+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2017-02-10 05:54:20+01:00,2017-02-10 05:54:43+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
